program,code,company,platform,indication,nct,phase,setting,n,combo,primary_endpoint,result,immune_response,grade3_ae,discontinuation,data_cutoff,next_readout,status,why_stopped,rid,source_agent
GNOS-PV02 (무작위 2상),GNOS-PV02 + INO-9012,Geneos Therapeutics,(1) 개인맞춤형 신항원 - DNA 플라스미드 + IL-12,미공개 (등록 제목: 개인맞춤형 신항원 백신 + IL-12 vs 적극적 감시),NCT07722741,2상,적극적 감시 대조,90 (ESTIMATED),INO-9012 (IL-12 플라스미드),미공개,미공개,미공개,미공개,미공개,미공개,미공개,진행 예정 (NOT_YET_RECRUITING),해당없음 — 단 Nature Medicine 논문 2년 후에도 미개시(자금 조달 난항 시사),R328,A3
GRANITE (초기 1/2상),GRT-C901 / GRT-R902,Gritstone bio (BMS 협력),(1) 개인맞춤형 신항원 - ChAd68 + samRNA,"진행성 고형암 (NSCLC, 대장암, 위식도선암, 요로상피암)",NCT03639714,1/2상,진행성,29 (ACTUAL),nivolumab + ipilimumab,"AE/SAE/DLT, 2상 ORR(RECIST v1.1), RP2D",미공개 (등록부 결과 미게시),미공개,미공개,미공개,2022-11-10,해당없음,완료 (2022-11-10),BMS 협력 후속 확대 없음 — 빅파마의 조용한 이탈,R354,A3
SLATE,GRT-C903 / GRT-R904,Gritstone bio (BMS 협력),"(2) off-the-shelf 공유 신항원 - ChAd68 + samRNA, 공유 드라이버 변이 유래 신항원 20종","진행성/전이성 고형암 (NSCLC, 대장암, 췌장암 등 KRAS 변이 중심)",NCT03953235,1/2상,진행성/전이성 후기 치료,39 (ACTUAL); 1상 중간분석 19명,nivolumab + ipilimumab,안전성·내약성,"ORR 0%, 중앙 PFS 1.9개월, 중앙 OS 7.9개월 (1상 중간분석 N=19, 18명이 KRAS 변이 보유). T세포 반응이 HLA 일치 TP53 신항원으로 편향되는 면역우성 서열 확인",T세포 반응은 유도되었으나 표적 KRAS가 아닌 TP53 쪽으로 편향,2명에서 3/4등급 중대 치료관련 이상반응 및 용량제한독성,미공개,2023-03-10,SLATE-KRAS 2상 결과 미공개 (모회사 파산),완료 (2023-03-10) — 결과 등록부 미게시,다중 에피토프 공유 신항원 설계의 근본 한계 확인 후 SLATE-KRAS 단일표적으로 재설계,R321,A3
"GRANITE (전이성 대장암 2/3상, GO-010)",GRT-C901 / GRT-R902,Gritstone bio → Seattle Project Corporation (2024-12 자산 인수),(1) 개인맞춤형 신항원 - ChAd68 침팬지 아데노바이러스 프라임 + 자가증폭 mRNA(samRNA) 부스트 이종 프라임-부스트,1차 치료 후 유지요법 전이성 MSS 대장암,NCT05141721,2/3상 (무작위 공개),전이성 유지요법,700 (ESTIMATED 목표); 2상부 104명 무작위 → 69명 치료(백신 39 / 대조 30),면역관문억제제(atezolizumab/ipilimumab) + fluoropyrimidine/bevacizumab vs fluoropyrimidine/bevacizumab,"2상: 분자반응(ctDNA 30% 이상 감소) / 3상: PFS(iRECIST, IRC)",PFS HR 0.73 (90% CI 0.44-1.21) @2024-10-15; HR 0.79 (95% CI 0.42-1.50) @2024-08. ctDNA 저부담군 HR 0.50(90% CI 0.20-1.28). 고위험군 ctDNA high→low 전환 56%(9/16) vs 22%(2/9),미공개,미공개 (이상반응으로 인한 치료 중단 0건으로 보고),이상반응으로 인한 중단 0건; 그러나 무작위배정 104명 중 35명(33.7%)이 치료 개시 전 이탈,2024-10-15,1차 완료 예정 2027-03 (실제 진행 여부 불확실),진행 (ACTIVE_NOT_RECRUITING) — 단 등록정보 최종 갱신 2025-05-16 이후 정체,해당없음 (모회사는 2024-10-10 Chapter 11),R317,A3+A5
iNeo-Vac-R01,iNeo-Vac-R01,Hangzhou Neoantigen Therapeutics (연구자 주도),(1) 개인맞춤형 신항원 - mRNA 리포솜,근치절제 후 담도악성종양 / 간암 보조요법,NCT07368803,1/2상,수술 후 보조요법,20,PD-1 억제제 병용(간암 시험),안전성·내약성·유효성,미공개,미공개,미공개,미공개,미공개,미공개,"진행 (RECRUITING, 2025-09-11 개시)",해당없음,R346,A3
IMA402 / IMA401 (TCER),"IMA402 (PRAME), IMA401 (MAGEA4/8)",Immatics N.V.,인접 모달리티 - off-the-shelf TCR 이중항체(항체 유사 규격품). 4개 카테고리 어디에도 속하지 않음(백신 아님),"흑색종, 부인암, 폐암",미공개 (본 조사에서 NCT 미확인),1a상 완료 → 1b상 용량확장,진행성,미공개,단독 및 면역관문억제제 병용,미공개,임상적 개념증명 달성 발표(2025-11-12); IMA401 데이터는 2026 ASCO 발표 및 Nature Medicine 동시 게재,해당없음(수동 면역),미공개,미공개,미공개,2026년 IMA402 1b상 RP2D 확정,진행,해당없음,R378,A3
JCXH-211,JCXH-211,Immorna Biotherapeutics,(4) mRNA 인코딩 단백질 - IL-12 인코딩 자가증폭 RNA(srRNA) 종양내 투여. 신항원 백신 아님,악성 고형암,NCT05727839,1상 / 1-2상,진행성 (종양내 투여),19 (ACTUAL) / 72 (ESTIMATED),단독 / 항PD-1 항체 병용,미공개,미공개,미공개,미공개,미공개,미공개,미공개,완료 / 개시 예정 (NOT_YET_RECRUITING),해당없음,R364,A3
INTerpath-009 / V940-009,V940 (intismeran autogene),Merck Sharp & Dohme LLC (Moderna 협업),mRNA-LNP 개인맞춤 신생항원 치료제,선행보조 펨브롤리주맙+백금 이중항암화학요법 후 pCR 미달성 절제가능 2-3B기(N2) NSCLC,NCT06623422,3상,보조 (선행보조 후),680 (ESTIMATED),보조 펨브롤리주맙 ± 인티스메란 (이중맹검),"무병생존 (DFS, 최대 약 97개월)",미공개 (미판독),미공개,미공개,미공개,2026-08-06,1차완료예정일 2033-05-16 (개시로부터 8.6년); 최종완료 2038-01-26 (13.3년),"진행 (RECRUITING, 239개 기관)",해당없음,R144,A1+A4
INTerpath-011 / V940-011,V940 (intismeran autogene),Merck Sharp & Dohme LLC (Moderna 협업),mRNA-LNP 개인맞춤 신생항원 치료제,고위험 근육비침윤성 방광암 (NMIBC),NCT06833073,2,국소 (BCG 병용),308 (ESTIMATED),"코호트 A: 인티스메란 + BCG 대 BCG 단독 (1:1, 개방표지) / 코호트 B: 인티스메란 단독요법 단일군","코호트 A: 무사건생존 (EFS, 최대 약 5년)",미공개 (미판독),미공개,미공개,미공개,미공개,1차완료예정일 2031-09-03,"진행 (RECRUITING, 2025-03-11 개시, 89개 기관)",해당없음,R147,A1
INTerpath-012 / V940-012,V940 (intismeran autogene),Merck Sharp & Dohme LLC (Moderna 협업),mRNA-LNP 개인맞춤 신생항원 치료제,1차 치료 진행성 흑색종 (전이성),NCT06961006,2,전이성 1차 치료,160 (ESTIMATED),인티스메란 + 펨브롤리주맙 대 위약 + 펨브롤리주맙 (3중맹검),"무진행생존 (PFS, 최대 약 36개월)",미공개 (미판독),미공개,미공개,미공개,미공개,1차완료예정일 2028-07-22; 최종완료 2031-09-05,"진행 (RECRUITING, 2025-05-29 개시, 38개 기관)",해당없음,R148,A1
INTerpath-014 / V940-014,V940 (intismeran autogene),Merck Sharp & Dohme LLC (Moderna 협업),mRNA-LNP 개인맞춤 신생항원 치료제 (프로그램 최초 3상 단독요법 시험),완전절제된 고위험 1기 비소세포폐암 (보조요법),NCT07513376,3,보조 (adjuvant),876 (ESTIMATED),"Arm A: 인티스메란 + 피하 펨브롤리주맙/베라히알루로니다제 알파(MK-3475A, KEYTRUDA QLEX) (개방표지) / Arm B·C: 인티스메란 단독요법 또는 위약 (이중맹검)","BICR 판정 무병생존 (DFS), 비편평 NSCLC의 Arm A·C 대상, 최대 약 98개월",미공개 (미판독),미공개,미공개,미공개,미공개,1차완료예정일 2034-08-22; 최종완료 2038-05-11,"진행 (RECRUITING, 2026-05-04 개시, 46개 기관)",해당없음,R150,A1
"intismeran autogene (한국 3개 기관 참여, 비뇨기계)",V940 (intismeran autogene),Merck Sharp & Dohme LLC (Moderna 협업),mRNA-LNP 개인맞춤 신생항원 치료제,근침윤성 요로상피암 (MIUC) / 근침윤성 방광암 (MIBC),NCT06305767,1/2,보조 코호트(2상) + 수술전후 코호트(1상),"230 (ESTIMATED, 최초 200에서 상향)",2상 보조: 인티스메란 + 펨브롤리주맙 대 위약 + 펨브롤리주맙 (1:1 이중맹검) / 1상 수술전후: 인티스메란 + 펨브롤리주맙 + 엔포투맙 베도틴 (개방표지 단일군),보조 코호트: DFS (최대 약 28개월) / 수술전후 코호트: 이상반응 발생 환자 수 및 AE로 인한 치료중단 환자 수,미공개 (미판독),미공개,미공개,미공개,2026-08-06,1차완료예정일 2027-04-23 (지연 후); 최종완료 2031-10-20,"진행 (ACTIVE_NOT_RECRUITING) - 단, 1차완료예정일이 2026-10-08에서 2027-04-23으로 약 6.5개월 지연됨 (등록부 확인 가능한 유일한 명시적 판독 지연)",해당없음,R146,A1+A4
intismeran autogene NSCLC 3상 (한국 8개 기관 참여),V940 (intismeran autogene),Merck Sharp & Dohme LLC (Moderna 협업),mRNA-LNP 개인맞춤 신생항원 치료제,절제된 2기·3A기·3B기(N2) 비소세포폐암 (보조요법),NCT06077760,3상,보조 (adjuvant),868 (ESTIMATED),펨브롤리주맙 + 인티스메란 대 펨브롤리주맙 + 위약 (이중맹검),"무병생존 (DFS, 최대 약 78개월)",미공개 (미판독),미공개,미공개,미공개,2026-08-06,1차완료예정일 2030-06-25; 최종완료 2035-12-21,"진행 (RECRUITING, 2023-12-06 개시 후 2년 8개월 경과에도 모집 중; 229개 기관)",해당없음,R143,A1+A4
intismeran autogene 신장세포암 (한국 4개 기관 참여),V940 (intismeran autogene),Merck Sharp & Dohme LLC (Moderna 협업),mRNA-LNP 개인맞춤 신생항원 치료제,신세포암 (보조요법),NCT06307431,미공개,보조 (adjuvant),"272 (ESTIMATED, 약 13개월 만에 등록 완료 - 프로그램 내 최속)",펨브롤리주맙 + 인티스메란 대 펨브롤리주맙 + 위약 (3중맹검),"무병생존 (DFS, 최대 약 43개월)",미공개 (미판독),미공개,미공개,미공개,2026-08-06,1차완료예정일 2028-01-08; 최종완료 2032-06-08,"진행 (ACTIVE_NOT_RECRUITING, 2025-05-13 게시분부터 등록 완료)",해당없음,R145,A1+A4
intismeran autogene 전이성 (한국 5개 기관 참여),V940 (intismeran autogene),Merck Sharp & Dohme LLC (Moderna 협업),mRNA-LNP 개인맞춤 신생항원 치료제,전이성 편평 비소세포폐암 1차 치료,NCT07221474,미공개,전이성 1차 치료,180 (ESTIMATED),인티스메란/위약 + 펨브롤리주맙 + 항암화학요법 (3중맹검),"무진행생존 (PFS, 최대 약 32개월) 및 전체생존 (OS, 최대 약 42개월) — 프로그램 내 유일하게 OS를 1차 평가변수로 설정",미공개 (미판독),미공개,미공개,미공개,2026-08-06,1차완료예정일 2029-07-02; 최종완료 2031-05-06,"진행 (RECRUITING, 2025-12-12 개시, 54개 기관)",해당없음,R149,A1+A4
intismeran autogene 흑색종 3상 (한국 5개 기관 참여),V940 (intismeran autogene),Merck Sharp & Dohme LLC (Moderna 협업),mRNA-LNP 개인맞춤 신생항원 치료제,고위험 2-4기 흑색종 (완전절제 후 보조요법),NCT05933577,3상,보조 (adjuvant),"1089 (ESTIMATED, 2024년 등록 완료)",펨브롤리주맙 + 인티스메란 대 펨브롤리주맙 + 위약,"재발없는생존 (RFS, 최대 약 74개월)",미공개 (미판독). 모더나 2026 Q2 10-Q는 3상 보조 흑색종 데이터를 '잠재적으로 2026년'으로 안내했으나 ASCO 2026 이후 보도는 2027년 중간 데이터를 언급 - 가이던스 상충,미공개,미공개,미공개,2026-08-06,중간분석 2026년 하반기~2027년 (회사 가이던스는 헤지됨); 등록부 1차완료예정일 2029-10-26 (v0~v52 전 버전 불변),"진행 (ACTIVE_NOT_RECRUITING, 등록 완료)",해당없음,R142,A1+A4+A5
VB10.16 (두경부암),VB10.16,Nykode Therapeutics ASA,(3) TAA 백신 - HPV16 E6/E7 DNA 플라스미드,두경부 편평세포암,NCT06016920,1/2상,미공개,51,pembrolizumab,미공개,미공개,미공개,미공개,미공개,미공개,미공개,진행 (RECRUITING) — 회사의 '핵심 가치 동인'으로 지정,해당없음,R329,A3
VB10.NEO (초기 1/2상),VB10.NEO,Nykode Therapeutics ASA,(1) 개인맞춤형 신항원 - DNA 플라스미드,고형암,NCT03548467,1/2상,진행성,41 (ACTUAL),bempegaldesleukin (NKTR-214),미공개,미공개,미공개,미공개,미공개,미공개,해당없음,완료,병용 파트너 bempegaldesleukin이 별도로 개발 중단됨,R331,A3
VB10.NEO,VB10.NEO,"Nykode Therapeutics ASA (Genentech/Roche 협력, 2024-11 철수)","(1) 개인맞춤형 신항원 - DNA 플라스미드 기반 항원제시세포 표적 백신(Vaccibody 플랫폼), 근육주사. mRNA 아님",국소진행성/전이성 고형암,NCT05018273,1b상,진행성/전이성,26 (ACTUAL),atezolizumab 병용 (3/6/9 mg 용량군),"AE 발생·중증도, 활력징후 변화, 임상검사수치 변화 (안전성 only)",미공개 (등록부 결과 미게시),미공개,미공개,미공개,2024-10-09,진행 중 연구 판독까지만 개발 지속 방침,완료 (2024-10-09),"Genentech가 2024-11 파트너십 철수. Nykode는 최대 60% 인력 감축, VB10.NEO는 '제한적 투자' + 파트너 물색 상태",R331,A3
Tedopi (ARTEMIA),OSE2101 / Tedopi,OSE Immunotherapeutics,"(3) TAA 백신 - 5종 종양연관항원 유래 T세포 에피토프, HLA-A2 제한. 개인맞춤형 아님","HLA-A2 양성 전이성 비소세포폐암, 면역관문억제제 2차 내성",미공개 (본 조사에서 NCT 미확인),3상,전이성 후속 치료,363 (예정),단독 vs 표준치료(도세탁셀 등),전체생존(OS),"미공개 (IDMC 2회 지속 권고: 2025-11, 2026-02)",미공개,미공개,미공개,미공개,"무용성 분석 2026 Q3, 최종 판독 2028 Q1",진행,해당없음,R347,A3
BNT116 + cemiplimab (Regeneron 주도),BNT116,Regeneron Pharmaceuticals,(3) TAA 백신 - mRNA-리포플렉스,비소세포폐암,NCT05557591,2상,진행성,51,cemiplimab 병용,미공개,미공개,미공개,미공개,미공개,미공개,미공개,진행 (ACTIVE_NOT_RECRUITING),해당없음,R349,A3
RinuaGene HPV 프로그램,미공개,RinuaGene Biotechnology Co.,(3) TAA 백신 - HPV16/18 표적. 개인맞춤형 아님,HPV16/18 관련 자궁경부 상피내종양,NCT06273553,1/2상,전암 병변,39 (ESTIMATED),미공개,미공개,미공개,미공개,미공개,미공개,미공개,미공개,미개시 (NOT_YET_RECRUITING),해당없음,R366,A3
SK바이오사이언스 일본뇌염 mRNA 백신,GBP560,SK바이오사이언스,mRNA-LNP (CEPI 지원),일본뇌염 예방 - 항암 아님,미공개,1/2상 (글로벌),예방,미공개,단독,미공개,미공개,미공개,미공개,미공개,2026-08-06,미공개,진행,해당없음,R455,A4
XH001,XH001,Shenzhen Xinhe Biomedical,미공개 (신항원 종양백신 — 플랫폼이 펩타이드인지 mRNA인지 등록정보상 불명확),고형암 보조요법 / 췌장암 보조요법,NCT07594964,1상,수술 후 보조요법,48,화학요법 병용(췌장암),안전성·내약성·예비 유효성,미공개,미공개,미공개,미공개,미공개,미공개,진행 (RECRUITING),해당없음,R367,A3
ABO2102 (KRAS 신항원),ABO2102,Suzhou Abogen Biosciences,(2) off-the-shelf 공유 신항원 - KRAS 변이 신항원 mRNA 백신,KRAS 변이 고형암,NCT07455617,1상 / EARLY_PHASE1,진행성,101 / 56,미공개,미공개,미공개,미공개,미공개,미공개,미공개,미공개,진행 (RECRUITING),해당없음,R343,A3
Abogen 개인맞춤형 항암백신,미공개,Suzhou Abogen Biosciences (Ruijin Hospital 협력),(1) 개인맞춤형 신항원 - mRNA-LNP,고형암 보조요법,NCT07583953,EARLY_PHASE1,수술 후 보조요법,50 / 60,미공개,미공개,미공개,미공개,미공개,미공개,미공개,미공개,진행/개시 예정 (NOT_YET_RECRUITING / RECRUITING),해당없음,R343,A3
TG4050 (난소암),TG4050,Transgene SA,(1) 개인맞춤형 신항원 - MVA 바이러스 벡터,난소암,NCT03839524,1상,미공개,64 (ACTUAL),미공개,안전성,미공개 — 공개 발표 없이 종료,미공개,미공개,미공개,미공개,해당없음,완료,후속 개발이 두경부암으로만 이어짐(적응증 선별 실패 시사),R356,A3
TG4050 (두경부암),TG4050 / myvac,Transgene SA + NEC Bio B.V.,"(1) 개인맞춤형 신항원 - Modified Vaccinia Ankara(MVA) 바이러스 벡터, 환자당 최대 30개 신항원(3개 ORF), NEC AI 예측",절제된 국소진행성 HPV 음성 두경부 편평세포암 (보조요법),NCT04183166,1/2상 (무작위),수술+보조 (화학)방사선 후 완전관해 상태의 보조요법,"80 (ACTUAL 등록); 1상부 33명 무작위(Arm A 17 / Arm B 16), per-protocol 각 16명",단독요법 (ICI 병용 없음),1상: 안전성·내약성 / 2상: 무병생존(DFS),"1상: 2년 DFS 100%(Arm A, 0/16 재발) vs 81%(Arm B, 3/16 재발), 단측 log-rank p=0.0367, 중앙 추적 30개월",ELISpot 8/13(61.5%) @D64; ELISpot+tetramer 통합 11/15(73.3%); 반응 신항원 중앙값 3개(1-16)/인코딩 30개,"0명 (19명 중); 1-2등급 18/19(94.7%), 대부분 주사부위 반응",치료관련 중단 보고 없음; 1상 Arm A 1명이 2회 투여 후 조기 재발로 per-protocol 제외,2025-04-22 (효능),"1상 3년 DFS 2026 Q2/Q3; 2상 면역원성 2026 H2, 효능 2027 Q4","진행 (ACTIVE_NOT_RECRUITING, 2상 무작위배정 거의 완료)",해당없음,R307,A3
WGc-043,WGc-043,WestGene Biopharma (成都/深圳),(3) TAA 백신 - EBV 바이러스 항원 표적 mRNA 백신 + 면역증강자(IE) 서열. 개인맞춤형 아님,"EBV 양성 고형암 및 혈액암 (비인두암, NK/T 세포 림프종)","미공개 (ClinicalTrials.gov 등록 미확인, 중국 NMPA 및 미국 FDA IND만 확인)",1상,진행성,미공개,미공개,미공개,미공개 (IIT 완료로 보도되나 수치 미공개),미공개,미공개,미공개,미공개,미공개,"진행 (2024-08-06 중국 CDE 임상 승인, 미국 FDA IND 확보)",해당없음,R344,A3
OVM-200 (도입 라이선스),OVM-200,디엑스앤브이엑스 / Oxford Vacmedix(원개발),"재조합 오버래핑 펩타이드(ROP), 서바이빈 표적 (mRNA 아님, 개인맞춤 아님)",고형암,미등록(국내),미공개(국내 자체 임상 미개시),치료,미공개,미공개,미공개,미공개,미공개,미공개,미공개,2026-08-06,미공개 (회사 목표: 2028년 상용화),진행(도입 후 국내 임상 준비),해당없음,R434,A4
DXVX 원형 mRNA 항암백신,DX-DRG-R02,"디엑스앤브이엑스(DXVX, 코스닥 180400)","circular(원형) mRNA, 상온 장기보관 mRNA 플랫폼",비소세포폐암·유방암·난소암·전립선암 등 고형암 및 혈액암 (서바이빈 표적),미등록,전임상,치료,미공개,미공개,미공개,"미공개 (동물모델 우수성 주장, 수치 데이터 미공개)",미공개,미공개,미공개,2026-08-06,미공개,진행(전임상),"해당없음 (단, 타깃 서바이빈은 공유 종양연관항원으로 엄밀한 개인맞춤 신항원 아님)",R429,A4
목암 AI 기반 맞춤형 mRNA 구조체 설계 플랫폼,미공개,목암생명과학연구소(GC녹십자 계열)·고려대·한양대,에이전틱 AI 기반 mRNA 전체 서열 통합 설계 (UTR+코돈+RNA 구조 동시 최적화),차세대 백신·치료제 (특정 적응증 미지정),해당없음(비임상 플랫폼 과제),비임상 플랫폼,해당없음,해당없음,해당없음,AI 통합 설계 플랫폼 개발 및 실증,미공개 (2026년 착수),해당없음,해당없음,해당없음,2026-07-28,미공개 (과제 종료 2030년),진행,해당없음,R409,A4
삼양바이오팜 IPF mRNA 치료제 (SENS 전달체),미공개,삼양홀딩스 / 삼양바이오팜,SENS (생분해성 고분자 기반 비-LNP 전달체) + mRNA,특발성폐섬유증(IPF) - 항암 아님,미등록,전임상 (KDDF 과제),치료,미공개,미공개,미공개,미공개,미공개,미공개,미공개,2026-08-06,미공개,진행(전임상),해당없음,R439,A4
