label,value,unit,caveat,rid,agent
ESPAC-3 보조항암요법 개시시점의 OS 영향,0.985,"HR (95% CI 0.956-1.015), n=985",12주까지 지연이 예후 악화시키지 않음. 단 항암제 지연에 관한 것이지 백신 선행 순서에 관한 것 아님,R812,C1
ESPAC-3 6주기 완주 여부의 OS 영향,0.516,"HR (95% CI 0.443-0.601, P<0.001)",완주가 개시시점보다 중요한 독립 예후인자,R812,C1
INTerpath-001 절제술→첫 펨브롤리주맙 허용 최대 기간,13,주,체크포인트 억제제를 브리지 요법으로 쓰는 설계 우회,R807,C1
BioNTech 인프라 생산능력,100,"배치/월 (연 1,200배치)",iNeST 전용 아닌 전 mRNA 파이프라인 합계. FY2025에서 삭제된 공시,R847,C1
BioNTech 신규 Mainz 시설 설계 환자 수용량,"7,000-9,999",명/년 ('high four-digit'),제조허가 목표 2027년. 설계값이며 실현 미확인,R848,C1
상업 규모 도달 필요 처리량 확대 배수,5.8-16.7,배,"[EST] 배치=환자 시 5.8-8.3배, 환자당 2배치 시 11.7-16.7배. 월 100배치가 전 파이프라인 합계라 과소추정",R849,C1
BioNTech East Wing 누적 mRNA 배치,">1,700",배치 (첫 해 >250),FY2024·FY2025 20-F에 동일 반복된 미갱신 정형문구. 배치-환자 1:1 여부 불명,R846,C1
BioNTech East Wing GMP 구역 면적,"4,300","제곱피트 (총 17,000 중)",FY2024 공시. Moderna Marlborough 20만 sqft 대비 약 1/46,R886,C1
Moderna Marlborough intismeran 전용 시설 면적,"200,000","제곱피트 (140,000 + 60,000 증축)",배치/년 생산능력은 미공시,R844,C1
Moderna Norwood MTC 캠퍼스 면적,"722,000",제곱피트,개인맞춤 전용 아님. 전사 공용 캠퍼스,R854,C1
iNeST 원료의약품 배치 규모,수 밀리그램,"mg (표준 mRNA 10g, COVID 약 720g)","FY2024 공시. COVID 대비 약 1/144,000 (5mg 가정)",R885,C1
환자당 mRNA 소요량 intismeran vs cevumeran,9mg vs 225µg,배 차이 40,[EST] 전량 완주 가정. 투여경로·제형 상이(IM LNP vs IV 지질복합체),R891,C1
autogene cevumeran 지질복합체 입자 직경,~400,nm (DOTMA+DOPE),통상 LNP 80-100nm과 다른 범주. 0.22µm 무균여과 불가,R817,C1
BioNTech East Wing 인력·가동,">300명, 주 7일",명,QC·QA·물류 지원인력 포함,R846,C1
BioNTech Marburg 생산능력·인력,"30억 도즈/년, 8개 스위트, ~450명",도즈,개인맞춤 라인 아님. 대량생산 대비 인력생산성 격차 비교용,R850,C1
BioNTech IMFS 세포치료 제조 소요시간,<35,일,mRNA 개인맞춤(최상 28일)과 유사 자릿수,R852,C1
KEYNOTE-942 5년 추적 RFS/DMFS/OS,HR 0.510 / 0.411 / 0.471,HR (95% CI 0.294-0.887 / 0.200-0.843 / 0.165-1.345),"추적 중앙 60.3개월, 컷오프 2025-12-15. OS는 CI가 1을 포함",R875,C1
KEYNOTE-942 1차 판독 RFS,0.561,"HR (95% CI 0.309-1.017, p=0.053)",통상 유의수준 미충족. n=157,R876,C1
intismeran 3상 4건 등록목표 합계,"3,513",명,대조군 포함이라 실제 제조 대상은 더 적음,R873,C1
intismeran 투여 용법,1mg IM x 9회 (3주 간격),mg,cevumeran은 25µg IV x 9회,R818,C1
중단된 intismeran 시험 (피부 편평세포암 2/3상),46,명 등록 후 중단 ('Business reasons'),"NCT06295809, 2024년 4월 개시",R865,C1
Maravai 총매출 2022 (정점),883.001,백만 USD,COVID 특수 정점 연도,R900,C2
Maravai 총매출 2025,185.743,백만 USD,정점 대비 -79.0%,R900,C2
Maravai 매출총이익률 2025,18.3,%,"2022년 80.9%에서 붕괴; 33,990천/185,743천",R902,C2
Maravai 매출원가 2023/2024/2025,148.743 / 150.876 / 151.753,백만 USD,매출 36% 감소에도 불변 — 고정비 구조 증거,R901,C2
Maravai TriLink 세그먼트 매출 2025,119.787,백만 USD,mRNA 원부자재 순수 사업부; 2024년 196.345에서 -39.0%,R904,C2
상업 백신向 대량 CleanCap 매출 비중 2023/2024/2025,21.0 / 25.4 / 0.0,% of total revenue,"회사 추정치, 10-K 위험요인 기재",R903,C2
Maravai 영업권·장기자산 손상 2024+2025,234.860,백만 USD,166.151 + 68.709,R906,C2
GMP 대량 5' 캡 유사체(CleanCap) 구매가,3000,USD/g,"Kis 2020, TriLink 직접 소통 기반; 카탈로그가와 33배 차이",R912,C2
GMP 대량 m1Ψ-UTP 구매가,4700,USD/g,Kis 2020; 카탈로그가와 17배 차이,R912,C2
T7 RNA 중합효소 단가,38000,EUR/g,Sci Rep 2024 Table 11,R918,C2
TriLink 캡 시약 단가 (Sci Rep 모델),248,EUR/mg,"= 248,000 EUR/g; Kis의 3,000 USD/g과 약 80배 충돌 — 등급·물량 차이",R918,C2
CleanCap AG 카탈로그 정가 (10 µmol),1123,USD,"MW 1,145.60 g/mol; GMP 등급은 별도 문의",R920,C2
CleanCap AG 카탈로그가 질량 환산 [EST],98027,USD/g,"$1,123 ÷ (10 µmol × 1145.60 g/mol = 0.011456 g)",R921,C2
m1Ψ-UTP 카탈로그 정가 (100 µmol),3960,USD,MW 498.20 g/mol; GMP 등급 FN-1081 별도,R922,C2
m1Ψ-UTP 카탈로그가 질량 환산 [EST],79486,USD/g,"$3,960 ÷ 0.04982 g",R923,C2
TriLink CleanScribe 저-dsRNA T7 변이체 dsRNA 저감,85,% (최대),"제조사 자체 주장, 독립 검증 없음",R924,C2
SM-102 연구용 정가 (1 g),1200,USD/g,"연구용 등급, GMP 아님",R926,C2
ALC-0315 연구용 정가 (1 g),1600,USD/g,"연구용 등급, GMP 아님",R927,C2
코미나티 이온화성 지질:RNA 질량비,14.33,:1,"ALC-0315 0.43 mg / modRNA 0.030 mg, FDA 라벨 확정값",R928,C2
코미나티 총지질:RNA 질량비,25.3,:1,(0.43+0.05+0.09+0.19)/0.030,R928,C2
인간 게놈 1개 생산 시퀀싱 비용 (NHGRI 최종 관측),524.62,USD,"2022년 5월 기준, 분석·해석 비용 제외, 이후 미갱신",R929,C2
환자당 투여 RNA (1 mg × 9회),9,mg,3상 최대 9회 투여; 용량 1 mg은 KEYNOTE-942 2b상 기준,R951,C2
환자당 합성 필요 IVT RNA [EST],46.1,mg,(9×1.20)+15 = 25.8 mg DS ÷ 0.56 수율; QC/retain 15 mg은 가정치,R954,C2
RNA 1 g당 캡 유사체 소요량 [EST],0.916,g/g RNA,4 mM × 1145.6 g/mol ÷ 5 g/L 역가,R955,C2
RNA 1 g당 m1Ψ-UTP 소요량 [EST],0.498,g/g RNA,5 mM × 498.2 g/mol ÷ 5 g/L,R955,C2
환자당 IVT 시약 원가 합계 [EST],292-557,USD,GMP 대량가 기준; 캡 127 + m1ΨUTP 108 + 기타NTP 19 + T7 38-303,R956,C2
환자당 이온화성 지질 원가 [EST],248-1548,USD,"0.155 g × 1,600(연구용)~10,000(GMP 추정) USD/g; GMP가는 추정치",R958,C2
개별화 배치당 FTE 소요 [EST],1.32,FTE-년/배치,"바이오엔텍 300명 ÷ (1,700배치/7.5년=227); 강한 상한 추정",R959,C2
개별화 배치당 인건비·간접비 [EST],132000-198000,EUR/배치,"1.32 FTE × EUR100,000~150,000 완전부담",R959,C2
환자당 총 COGS - 저 시나리오 [EST],30870,USD,"소계 29,400 × 1.05 배치실패 충당",R960,C2
환자당 총 COGS - 기본 시나리오 [EST],128570,USD,"소계 111,800 × 1.15",R960,C2
환자당 총 COGS - 고 시나리오 [EST],382500,USD,"소계 306,000 × 1.25",R960,C2
COGS 중 원부자재 비중 [EST],7.4,%,"8,300 / 111,800 기본 시나리오 소계",R961,C2
COGS 중 QC+인건비·간접비 비중 [EST],85.0,%,"95,000 / 111,800",R961,C2
환자당 QC/출하시험 비용 [EST],15000-70000,USD,"20-25종 × 500-3,000 USD/시험; 신뢰도 하, 단정 금지",R962,C2
환자당 DNA 주형 소요량 [EST],0.9-2.3,mg,RNA:DNA 20-50:1 가정; GMP 플라스미드 최소배치는 두 자릿수 이상 큼,R963,C2
"개별화 전세계 연간 RNA 합성량 (20,000명/년) [EST]",922,g/년,"20,000 × 46.1 mg; 팬데믹 240 kg의 0.38%",R964,C2
팬데믹 1년치 RNA 수요 (대조),240,kg,80억 도즈 × 30 µg (Kis 2020 기준),R964,C2
"원부자재 SAM - 캡 유사체 (20,000명/년) [EST]",2.53,백만 USD/년,"0.916 g/g × 922 g × 3,000 USD/g; 전 공급자 합산",R965,C2
"원부자재 SAM - 이온화성 지질 (20,000명/년) [EST]",6.2-31.0,백만 USD/년,"14.33 × 216 g × 2,000~10,000 USD/g",R965,C2
"원부자재 SAM 총합 - 최대 낙관 (50,000명/년) [EST]",<100,백만 USD/년,"RNA 2,305 g; 전 품목·전 공급자 합산",R967,C2
환자당 원료 공급자 포착 매출 [EST],540-2105,USD,COGS 기본 시나리오의 0.4-1.6%; 정제매질·소모품 제외,R983,C2
원료 단가 50% 인하 시 COGS 절감 효과 [EST],3.2,%,"4,150 / 128,570 — 가격 경쟁으로 진입 논거 불가",R987,C2
인도 POC CAR-T 제조원가 (실측),35107,USD/제품,렌티바이러스 벡터 제외; 인도 인건비 기준,R948,C2
인도 POC CAR-T 총원가 (실측),47831,USD/환자,"제조 35,107 + 의료자원 12,724; 미국 상용가의 약 1/10",R948,C2
CAR-T 단일 환자용 바이러스 벡터 배치 원가,>16000,USD,mRNA/LNP 대비 원가 우위 지점의 정량 근거,R949,C2
대량 mRNA 백신 생산원가 (fill-to-finish 포함),2.39,USD/도즈,"5회분 바이알, 연 8-10억 도즈 전제; 개별화와 약 6,000배 차이",R914,C2
QC 비용의 도즈당 부담 - 개별화 vs 대량 [EST],3889 vs <0.001,USD/도즈,"35,000÷9회분 대 35,000÷수백만 도즈",R984,C2
바이오엔텍 iNeST 시설 인력 / 누적 배치,300+ / 1700+,명 / 배치 (2018.6-2025),"300명이 iNeST 전용인지, 1,700배치가 전량 iNeST인지 미명시",R938,C2
모더나 연구용 mRNA 로트 규모,1-1000,mg/로트,"월 최대 1,000 로트; 개별화 배치 규모 오더 지표",R935,C2
Codexis 매출 2022 → 2025,138.590 → 70.387,백만 USD,2023년 70.143로 -49% 급락 후 정체,R944,C2
화이자-Codexis 효소 자가제조 라이선스 매출,9.5,백만 USD (2024년 일회성),2025년 재발 없음 — 공급계약이 라이선스로 전환된 사례,R945,C2
다나허 유전체 소모품 상표권 손상 2025,432,백만 USD (세전),세후 328; 어느 상표인지 미명시 — Aldevron 단정 불가,R943,C2
다나허 라이프사이언스 부문 매출 2023/2024/2025,7141 / 7329 / 7334,백만 USD,"3년 정체; 2025 영업이익 520 (7.1%), 손상 446 포함",R942,C2
모더나 2025 매출원가,868,백만 USD (순제품매출의 48%),재고평가손실 291 + 미가동 제조능력 93 포함,R937,C2
인티스메란 임상 11건 계획 등록환자 합계,4870,명,"무작위배정이므로 실제 제조 대상은 약 절반, 수년 분산",R952,C2
"대량생산 mRNA 백신 CapEx (80억 도즈, 100 µg/도즈)",1570-2360,백만 USD,"OpEx는 연 14,200-21,300 백만 USD; 개별화 SAM과 3자릿수 차이",R976,C2
