nct,title,status,why_stopped,phase,enrollment,enrollment_type,allocation,masking,purpose,start,primary_completion,completion,first_posted,last_update,sponsor,collaborators,conditions,interventions,primary_outcome,countries,has_korea
NCT03688178,DC Migration Study to Evaluate TReg Depletion In GBM Patients With and Without Varlilumab,ACTIVE_NOT_RECRUITING,,PHASE2,43,ACTUAL,RANDOMIZED,TRIPLE,TREATMENT,2020-08-26,2027-03-31,2027-03-31,2018-09-28,2026-05-22,"Annick Desjardins, MD",Celldex Therapeutics,Glioblastoma,Human CMV pp65-LAMP mRNA-pulsed autologous DCs; Temozolomide; Varlilumab; Td; Unpulsed DCs,"Median Overall Survival (OS) of Subjects Receiving Td pre-conditioning; Safety of administering Varlilumab to GBM patients receiving temozolomide and dendritic cell vaccines ± Td pre-conditioning as measured by the percentage of patients with unacceptable toxicity regardless of attribution; Median percent change between baseline, assessed on day 14, and nadir levels of Treg before the time that th",United States,
NCT03897881,An Efficacy Study of Adjuvant Treatment With the Personalized Cancer Vaccine mRNA-4157 and Pembrolizumab in Participants With High-Risk Melanoma (KEYNOTE-942),ACTIVE_NOT_RECRUITING,,PHASE2,267,ACTUAL,RANDOMIZED,NONE,TREATMENT,2019-07-18,2032-11-30,2032-11-30,2019-04-01,2025-12-03,"ModernaTX, Inc.",Merck Sharp & Dohme LLC,Melanoma,mRNA-4157; Pembrolizumab,"Recurrence-Free Survival (RFS), Assessed Using Radiological Imaging",Australia; United States,
NCT03929029,Neoantigen Vaccine Plus Locally Administered Ipilimumab and Systemic Nivolumab in Advanced Melanoma,ACTIVE_NOT_RECRUITING,,PHASE1,11,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2020-11-11,2022-12-27,2028-09-30,2019-04-26,2026-01-05,Dana-Farber Cancer Institute,National Cancer Institute (NCI),Cutaneous Melanoma,Nivolumab (480 mg infusion); NeoVax plus Montanide; Ipilimumab,Number of Participants With Dose-Limiting Toxicity (DLT),United States,
NCT03929601,Rituximab-pvvr and Abatacept vs Rituximab-pvvr Alone in New Onset Type 1 Diabetes,ACTIVE_NOT_RECRUITING,,PHASE2,74,ACTUAL,RANDOMIZED,TRIPLE,TREATMENT,2023-10-30,2027-03-31,2029-03-31,2019-04-29,2026-02-19,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),National Institutes of Health (NIH),Type 1 Diabetes Mellitus,Rituximab-pvvr; Abatacept; Sterile Sodium Chloride,C-Peptide Response to 2-hr MMTT at 24 months post-randomization,Australia; United States,
NCT04015700,"Neoantigen-based Personalized DNA Vaccine in Patients With Newly Diagnosed, Unmethylated Glioblastoma",ACTIVE_NOT_RECRUITING,,PHASE1,9,ACTUAL,NA,NONE,TREATMENT,2020-07-14,2022-05-13,2027-09-03,2019-07-11,2026-05-07,Washington University School of Medicine,Geneos Therapeutics; The Foundation for Barnes-Jewish Hospital; National Institute of Neurological Disorders and Stroke (NINDS),Glioblastoma,Personalized neoantigen DNA vaccine supplied by Geneos Therapeutics; CELLECTRA®2000 EP Device supplied by Geneos Therapeutics; Plasmid encoded IL-12,"Safety and Tolerability of a Personalized Neoantigen DNA Vaccine as Measured by Number of Participants With Dose-limiting Toxicities (DLTs); Feasibility of Generating a Personalized Neoantigen DNA Vaccine for Patients With Newly Diagnosed, Unmethylated GBM as Measured by the Number of Participants Who Had Candidate Tumor-specific Neoantigens Identified; Feasibility of Generating a Personalized Neo",United States,
NCT04024878,NeoVax With Nivolumab in Patients With Ovarian Cancer,ACTIVE_NOT_RECRUITING,,PHASE1,22,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2020-11-20,2025-04-30,2029-04-30,2019-07-18,2025-06-18,Dana-Farber Cancer Institute,United States Department of Defense,Ovarian Cancer,Nivolumab; NeoVax; Core Needle Biopsy,"Percentage of patients pre-srceened who have enough neoantigens for generation of the vaccine, are not platinum refractory, and who initiate vaccination; Overall incidence of treatment-emergent AEs, SAEs, AEs of at least Grade 3 severity, related AEs, and AEs leading to withdrawal of treatment will be described; The rates of autoimmune effects",United States,
NCT04068194,Testing the Combination of New Anti-cancer Drug Peposertib With Avelumab and Radiation Therapy for Advanced/Metastatic Solid Tumors and Hepatobiliary Malignancies,ACTIVE_NOT_RECRUITING,,"PHASE1,PHASE2",103,ESTIMATED,RANDOMIZED,NONE,TREATMENT,2020-04-07,2027-07-01,2027-07-01,2019-08-28,2026-07-31,National Cancer Institute (NCI),,Locally Advanced Malignant Solid Neoplasm; Locally Advanced Unresectable Cholangiocarcinoma; Locally Advanced Unresectable Gallbladder Carcinoma; Locally Advanced Unresectable Malignant Solid Neoplasm; Metastatic Cholangiocarcinoma; Metastatic Gallbladder Carcinoma; Metastatic Malignant Solid Neoplasm; Stage III Gallbladder Cancer AJCC v8; Stage IV Gallbladder Cancer AJCC v8; Unresectable Malignant Solid Neoplasm,Avelumab; Biopsy Procedure; Biospecimen Collection; Computed Tomography; Hypofractionated Radiation Therapy; Peposertib,Maximum tolerated doses and recommended phase 2 dose of peposertib (M3814) in combination with hypofractionated radiation and avelumab (Phase 1); Objective response rate (Phase 2),United States,
NCT04117087,Pooled Mutant KRAS-Targeted Long Peptide Vaccine Combined With Nivolumab and Ipilimumab for Patients With Resected Mismatch Repair Protein (MMR-p) Colorectal and Pancreatic Cancer,ACTIVE_NOT_RECRUITING,,PHASE1,27,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2020-05-28,2027-06-01,2027-06-01,2019-10-07,2026-07-27,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Bristol-Myers Squibb; National Cancer Institute (NCI); National Institutes of Health (NIH),Colorectal Cancer; Pancreatic Cancer,KRAS peptide vaccine; Nivolumab; Ipilimumab,Number of participants experiencing study drug-related toxicities; Fold change in interferon-producing mutant-KRAS-specific cytotoxic (CD8) and helper (CD4) T cells at 16 weeks,United States,
NCT04161755,Study of Personalized Tumor Vaccines (PCVs) and a PD-L1 Blocker in Patients With Pancreatic Cancer That Can be Treated With Surgery,ACTIVE_NOT_RECRUITING,,PHASE1,29,ACTUAL,NA,NONE,TREATMENT,2019-12-13,2026-11-11,2026-11-11,2019-11-13,2026-01-07,Memorial Sloan Kettering Cancer Center,"Genentech, Inc.; Massachusetts Institute of Technology",Pancreatic Cancer,Atezolizumab; RO7198457; mFOLFIRINOX,Drug related toxicity,United States,
NCT04183166,A Clinical Trial Evaluating TG4050 in Head and Neck Cancer,ACTIVE_NOT_RECRUITING,,"PHASE1,PHASE2",80,ACTUAL,RANDOMIZED,NONE,TREATMENT,2019-12-12,2027-12-30,2031-12-30,2019-12-03,2026-01-16,Transgene,,Squamous Cell Carcinoma of Head and Neck,TG4050,Phase I: Safety and tolerability (Adverse Event reported per CTCAE v5); Phase I/II: Disease-Free Survival,France; Spain; United Kingdom; United States,
NCT04214249,BLAST MRD AML-1: BLockade of PD-1 Added to Standard Therapy to Target Measurable Residual Disease in Acute Myeloid Leukemia 1- A Randomized Phase 2 Study of Anti-PD-1 Pembrolizumab in Combination With Intensive Chemotherapy as Frontline Therapy in Patients With Acute Myeloid Leukemia,ACTIVE_NOT_RECRUITING,,PHASE2,49,ACTUAL,RANDOMIZED,NONE,TREATMENT,2021-02-17,2024-11-27,2027-01-30,2020-01-02,2026-06-12,National Cancer Institute (NCI),,Acute Myeloid Leukemia; Acute Myeloid Leukemia Arising From Previous Myelodysplastic Syndrome; Acute Myeloid Leukemia Post Cytotoxic Therapy; Secondary Acute Myeloid Leukemia,Biospecimen Collection; Bone Marrow Aspiration; Bone Marrow Biopsy; Computed Tomography; Cytarabine; Daunorubicin Hydrochloride; Echocardiography Test; Hematopoietic Cell Transplantation; Idarubicin Hydrochloride; Multigated Acquisition Scan; Pembrolizumab; Punch Biopsy,Rate of Minimal Residual Disease (MRD) Negative - Complete Response (CR)/Complete Remission With Incomplete Recovery (CRi); Rate of MRD-negative CR,United States,
NCT04251117,"GNOS-PV02 Personalized Neoantigen Vaccine, INO-9012 and Pembrolizumab in Subjects With Advanced HCC",ACTIVE_NOT_RECRUITING,,"PHASE1,PHASE2",36,ACTUAL,NA,NONE,TREATMENT,2020-03-01,2024-11-29,2028-11-29,2020-01-31,2026-04-22,Geneos Therapeutics,,HCC,GNOS-PV02; INO-9012; Pembrolizumab; CELLECTRA®2000 EP Device,Adverse evets as graded by CTCAE v5.0; Immunogenicity of a personalized neoantigen DNA vaccine as measured by interferon-γ secreting T lymphocytes in peripheral blood mononuclear cells (PBMCs) using ELISpot; Immunogenicity of a personalized neoantigen DNA vaccine as measured by T-cell activation and cytolytic cell phenotype in PBMCs using Flow Cytometry,New Zealand; United States,
NCT04397003,Personalized Neoantigen Vaccine in Combination With Durvalumab (MEDI4736) in Extensive Stage Small Cell Lung Cancer,ACTIVE_NOT_RECRUITING,,PHASE2,6,ACTUAL,NA,NONE,TREATMENT,2022-03-30,2027-09-30,2029-09-30,2020-05-21,2025-10-22,Washington University School of Medicine,AstraZeneca; Gateway for Cancer Research,Extensive-stage Small Cell Lung Cancer,Neoantigen DNA vaccine; Durvalumab; TDS-IM v2.0 Device; Peripheral blood draws,Safety and tolerability of the combination of durvalumab and a neoantigen vaccine as measured by number of participants experiencing adverse events; Feasibility of combining durvalumab with a neoantigen vaccine as measured by the number of participants that had a vaccine produced for them,United States,
NCT04486378,"A Phase II Clinical Trial Comparing the Efficacy of RO7198457 Versus Watchful Waiting in Patients With ctDNA-positive, Resected Stage II (High Risk) and Stage III Colorectal Cancer",ACTIVE_NOT_RECRUITING,,PHASE2,327,ESTIMATED,RANDOMIZED,NONE,TREATMENT,2021-03-08,2026-11,2030-08,2020-07-24,2026-07-15,BioNTech SE,"Genentech, Inc.",Colorectal Cancer Stage II; Colorectal Cancer Stage III,RO7198457 intravenous (IV); Observational group (no intervention),Disease-free survival (DFS),Belgium; Canada; Germany; Spain; Sweden; United Kingdom; United States,
NCT04627246,Personalized Vaccine With SOC Chemo Followed by Nivo in Pancreatic Cancer,ACTIVE_NOT_RECRUITING,,PHASE1,14,ACTUAL,NA,NONE,TREATMENT,2020-09-11,2028-09,2028-09,2020-11-13,2026-05-08,Centre Hospitalier Universitaire Vaudois,,Pancreatic Adenocarcinoma,Autologous Dendritic Cell Vaccine Loaded with Personalized Peptides (PEP-DC vaccine),Number of cases for which vaccine is produced; Assessment of adverse events,Switzerland,
NCT04745559,Optimizing Cellular and Humoral Immunity by Vaccinating With PCV13 Before and After CAR-T Therapy,ACTIVE_NOT_RECRUITING,,PHASE2,26,ACTUAL,NA,NONE,TREATMENT,2021-02-18,2025-07-31,2027-06,2021-02-09,2026-01-29,H. Lee Moffitt Cancer Center and Research Institute,,Diffuse Large-Cell Lymphoma; Primary Mediastinal Large B-Cell Lymphoma (PMBCL); Transformed Follicular Lymphoma (TFL); High-grade B-cell Lymphoma (HGBCL); Follicular Lymphoma,Pneumococcal conjugate vaccine (PCV13); CD19 targeted CAR T Cell Therapy,Humoral Response Rate -PCV13 vaccine,United States,
NCT04808245,A MultIceNTER Phase I Peptide VaCcine Trial for the Treatment of H3-Mutated Gliomas,ACTIVE_NOT_RECRUITING,,PHASE1,15,ESTIMATED,NA,NONE,TREATMENT,2023-02-15,2026-11,2026-11,2021-03-22,2025-09-22,German Cancer Research Center,"Johannes Gutenberg University Mainz; Charite University, Berlin, Germany; Roche Pharma AG; German Cancer Aid",Newly Diagnosed H3-mutated Glioma,Tecentriq 1200 MG in 20 ML Injection; H3K27M peptide vaccine; Imiquimod (5%),Assessment of safety of repeated fixed dose vaccinations with the H3K27M peptide vaccine administered with radiotherapy and Atezolizumab in patients with H3K27M-mutant gliomas. Primary safety endpoint is the Regime Limiting Toxicity (RLT).; Assessment of immunogenicity of repeated fixed dose vaccinations with the H3K27M peptide vaccine administered with radiotherapy and Atezolizumab in patients wi,Germany,
NCT04930783,NeoVax + CDX-301 and Nivolumab or Pembrolizumab in Melanoma,ACTIVE_NOT_RECRUITING,,PHASE1,10,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2022-01-03,2027-12-31,2030-09-30,2021-06-18,2026-03-25,Dana-Farber Cancer Institute,Celldex Therapeutics,Melanoma; Metastatic Melanoma,CDX-301; NEOVAX; Nivolumab; Pembrolizumab,Rate of Dose Limiting Toxicity (DLT); Recommended maximum tolerated dose (MTD),United States,
NCT04977024,SARS-CoV-2 Vaccine (GEO-CM04S1) Versus mRNA SARS-COV-2 Vaccine in Patients With Blood Cancer,ACTIVE_NOT_RECRUITING,,PHASE2,63,ACTUAL,RANDOMIZED,SINGLE,TREATMENT,2021-09-27,2026-12-31,2027-12-31,2021-07-26,2026-02-11,"GeoVax, Inc.",,COVID-19 Infection; Hematopoietic and Lymphoid System Neoplasm; Leukemia; Lymphoma; Plasma Cell Myeloma,COVID-19 Vaccine; Diagnostic Laboratory Biomarker Analysis; Synthetic MVA-based SARS-CoV-2 Vaccine GEO-CM04S1,Biological response,United States,
NCT05010200,The Safety and Tolerability of PGV001-based Personalized Multi-peptide Vaccines in the Adjuvant Setting.,ACTIVE_NOT_RECRUITING,,PHASE1,27,ACTUAL,NON_RANDOMIZED,NONE,PREVENTION,2022-01-05,2027-01,2028-01,2021-08-18,2026-01-07,Ashutosh Kumar Tewari,,Prostate Cancer,PGV-001; Poly-ICLC; CDX-301,Number of adverse events; Number of adverse events,United States,
NCT05078866,Cancer Preventive Vaccine Nous-209 for Lynch Syndrome Patients,ACTIVE_NOT_RECRUITING,,"PHASE1,PHASE2",45,ACTUAL,RANDOMIZED,NONE,PREVENTION,2022-11-10,2025-04-16,2026-09-30,2021-10-15,2026-03-03,National Cancer Institute (NCI),,Colorectal Carcinoma; Lynch Syndrome,Adenoviral Tumor-specific Neoantigen Priming Vaccine GAd-209-FSP; Biospecimen Collection; Endoscopic Biopsy; MVA Tumor-specific Neoantigen Boosting Vaccine MVA-209-FSP; Questionnaire Administration,Rates of grade 2/3 adverse events and symptom reactivity following vaccination; Rate of immunogenicity following vaccination (Cohort I); Rate of immunogenicity following revaccination (Cohort II); Rates of grade 2/3 adverse events and symptom reactivity following revaccination (Cohort II),Puerto Rico; United States,
NCT05141721,A Study of a Patient-Specific Neoantigen Vaccine in Combination With Immune Checkpoint Blockade for Patients With Metastatic Colorectal Cancer,ACTIVE_NOT_RECRUITING,,"PHASE2,PHASE3",700,ESTIMATED,RANDOMIZED,NONE,TREATMENT,2022-02-12,2027-03,2027-03,2021-12-02,2025-05-16,Seattle Project Corporation,,Colorectal Neoplasms,GRT-C901; GRT-R902; Atezolizumab; Ipilimumab; Fluoropyrimidine plus leucovorin; Bevacizumab,Phase 2: Molecular response defined as ≥ 30% decrease from baseline in circulating tumor DNA (ctDNA); Phase 3: Progression-free survival per Immune-based Response Evaluation Criteria in Solid Tumors (iRECIST) as assessed by blinded independent review committee (IRC),United States,
NCT05195619,Personalized DC Vaccines in Non Small Cell Lung Cancer,ACTIVE_NOT_RECRUITING,,PHASE1,16,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2022-03-22,2027-06,2027-06,2022-01-19,2025-07-10,Centre Hospitalier Universitaire Vaudois,,Non-small Cell Lung Cancer,Autologous dendritic cell vaccine loaded with personalized peptides (PEP-DC vaccine); Low dose cyclophosphamide,Number of patients who receive at least one dose of vaccine; Assessment of adverse events; Assessment of treatment-limiting toxicities,Switzerland,
NCT05307835,Neoantigen Vaccine in Esophagus Cancer Patients Following Neoadjuvant Therapy and Surgical Resection,ACTIVE_NOT_RECRUITING,,PHASE1,27,ACTUAL,NA,NONE,TREATMENT,2021-12-02,2026-06-30,2026-12-31,2022-04-01,2025-12-02,"Second Affiliated Hospital, Zhejiang University, School of Medicine","Hangzhou Neoantigen Therapeutics Co., Ltd.",Resectable Esophageal Cancer,iNeo-Vac-P01; GM-CSF,AEs; Relapse Free Survival Rate,China,
NCT05309421,A Single Arm Trial Evaluating the Efficacy and Safety of EVX-01 in Combination With Pembrolizumab in Adults With Unresectable or Metastatic Melanoma,ACTIVE_NOT_RECRUITING,,PHASE2,17,ACTUAL,NA,NONE,TREATMENT,2022-09-19,2025-09-30,2026-03-30,2022-04-04,2025-09-22,Evaxion Biotech A/S,Merck Sharp & Dohme LLC,Melanoma Stage IV; Unresectable Melanoma,EVX-01; Pembrolizumab 25 MG/ML,Change in the best overall response (BOR),Australia; Italy,
NCT05354323,NECVAX-NEO1 in Addition to Checkpoint Inhibitor in Patients With Solid Tumors,ACTIVE_NOT_RECRUITING,,PHASE1,6,ACTUAL,NA,NONE,TREATMENT,2022-05-05,2025-12-31,2025-12-31,2022-04-29,2025-06-26,NEC OncoImmunity AS,,"Solid Tumors, Adult",NECVAX-NEO1,Treatment-emergent adverse events,Lithuania,
NCT05556720,Bringing Optimised COVID-19 Vaccine Schedules To ImmunoCompromised Populations (BOOST-IC): an Adaptive Randomised Controlled Clinical Trial,ACTIVE_NOT_RECRUITING,,PHASE3,960,ESTIMATED,RANDOMIZED,QUADRUPLE,TREATMENT,2022-12-01,2026-06-30,2026-12-31,2022-09-27,2025-10-03,Monash University,University of Sydney; University of Melbourne,"HIV; Organ Transplantation; Lymphoma, Non-Hodgkin; Chronic Lymphocytic Leukemia; Multiple Myeloma; COVID-19 Vaccines",Pfizer Bivalent COVID-19 Vaccine; Moderna Bivalent mRNA vaccine,The geometric mean concentration (GMC) of anti-spike SARS-CoV-2 IgG antibody against SARS-CoV-2,Australia,
NCT05557591,A Trial to Learn How the Cancer Vaccine BNT116 in Combination With Cemiplimab Works and How Safe the Combination is in Adults With Advanced Non-small Cell Lung Cancer (EMPOWERVAX Lung 1),ACTIVE_NOT_RECRUITING,,PHASE2,51,ACTUAL,RANDOMIZED,NONE,TREATMENT,2023-04-21,2028-01-26,2028-05-16,2022-09-28,2026-05-06,Regeneron Pharmaceuticals,BioNTech SE,Advanced Non-Small Cell Lung Cancer,BNT116; Cemiplimab,Objective response rate (ORR) as assessed by blinded independent review committee (BIRC) using Response Evaluation Criteria in Solid Tumors version 1.1 (RECIST 1.1),Georgia; Germany; South Korea; Spain; Taiwan; Turkey (Türkiye); United States,Y
NCT05631899,CAR-DC Vaccine and ICIs in Local Advanced/Metastatic Solid Tumors,ACTIVE_NOT_RECRUITING,,PHASE1,9,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2023-04-03,2026-06-30,2026-12-30,2022-11-30,2025-11-24,Chinese PLA General Hospital,Zhejiang University,"Solid Tumor, Adult; EphA2 Overexpression; KRAS G12V; KRAS G12C; KRAS G12D",KRAS-EphA-2-CAR-DC; Abraxane; Cyclophosphamide; Anti-PD-1 antibody; Anti-CTLA4 Monoclonal Antibody,Incidence of treatment related adverse events (AEs); Clinical Response; Disease Control; Immune Response,China,
NCT05660408,RNA Lipid Particles Targeting Pediatric Recurrent Intracranial Malignancies and Other systEmic Solid Tumors,ACTIVE_NOT_RECRUITING,,"PHASE1,PHASE2",36,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2025-03-12,2033-10,2035-10,2022-12-21,2026-03-09,University of Florida,The V Foundation for Cancer Research; National Pediatric Cancer Foundation; Alex's Lemonade Stand Foundation; The Osteosarcoma Institute; National Cancer Institute (NCI),Recurrent Pulmonary Osteosarcoma; Recurrent High-grade Glioma,pp65 RNA LP (DP1); pp65/tumor mRNA RNA-LP (DP2); Surgical Biopsy/Resection,Maximum tolerated dose; Feasibility of generating RNA-LP,United States,
NCT05683457,"A Study to Evaluate the Efficacy, Safety, and Immunogenicity of mRNA-1647 Cytomegalovirus (CMV) Vaccine in Allogenic Hematopoietic Cell Transplantation (HCT) Participants.",ACTIVE_NOT_RECRUITING,,PHASE2,84,ACTUAL,RANDOMIZED,TRIPLE,PREVENTION,2023-04-05,2026-08-01,2026-08-01,2023-01-13,2026-05-18,"ModernaTX, Inc.",,Cytomegalovirus Infection,mRNA-1647; Placebo,Time to the First Occurrence of an CS-CMVi Event as Measured by initiation of anti-CMV Antiviral Therapy; Number of Participants with Solicited Local and Systemic Reactogenicity Adverse Reactions (ARs); Number of Unsolicited Adverse Events (AEs); Number of Participants with Severe AEs; Number of Participants with Serious Adverse Events (SAEs); Number of Participants with Grade ≥3 Acute Graft-Versu,United States,
NCT05685004,Study of Neoantigen-specific Adoptive T Cell Therapy for Newly Diagnosed MGMT Negative Glioblastoma Multiforme (GBM),ACTIVE_NOT_RECRUITING,,"PHASE2,PHASE3",120,ESTIMATED,RANDOMIZED,SINGLE,TREATMENT,2023-09-15,2026-12,2027-03,2023-01-13,2025-07-01,TVAX Biomedical,,Glioblastoma Multiforme of Brain,TVI-Brain-1; Standard of Care; Radiotherapy; Temozolomide,Survival,United States,
NCT05714748,Application of mRNA Immunotherapy Technology in Epstein-Barr Virus-related Refractory Malignant Tumors,ACTIVE_NOT_RECRUITING,,PHASE1,19,ESTIMATED,NA,NONE,TREATMENT,2023-02-08,2025-05-31,2025-05-31,2023-02-06,2025-06-04,West China Hospital,,Malignant Tumors,EBV mRNA vaccine,Adverse events; Objective response rate; Progress-Free Survival; Overall Survival,China,
NCT05726864,A Study of ELI-002 7P in Subjects With KRAS/NRAS Mutated Solid Tumors,ACTIVE_NOT_RECRUITING,,"PHASE1,PHASE2",158,ACTUAL,RANDOMIZED,NONE,TREATMENT,2023-04-14,2026-04-20,2026-11,2023-02-14,2026-07-10,Elicio Therapeutics,,Pancreatic Ductal Adenocarcinoma; Colorectal Cancer; KRAS G12D; KRAS G12R; KRAS G12V; KRAS G12A; KRAS G12C; KRAS G12S; KRAS G13D; NRAS G12D; NRAS G12R; NRAS G12V; NRAS G12C; NRAS G12S,ELI-002 7P,Phase 1: Evaluate the safety of ELI-002 7P; Phase 2: Compare ELI-002 7P versus standard of care (SOC; observation) in DFS (disease free survival),United States,
